Month,Android,Windows,iOS,OS X,Unknown,Chrome OS,Linux,Samsung,Xbox,KaiOS,Playstation,Other
Jan,42.99,29.22,17.21,6.04,2.15,0.93,1.15,0.2,0,0.06,0.02,0.02
Feb,43.88,27.71,17.13,6.27,2.43,1.12,1.14,0.2,0,0.08,0.02,0.02
Mar,41.48,28.32,17.31,7.02,3.07,1.32,1.17,0.21,0,0.07,0.02,0.02
Apr,37.67,27.83,17.49,7.9,5.86,1.65,1.26,0.23,0,0.07,0.02,0.02
May,34.98,29.27,16.9,8.94,6.06,1.69,1.28,0.21,0.54,0.1,0.02,0.02
Jun,40.17,28.61,16.81,8.94,1.43,1.73,1.3,0.21,0.65,0.1,0.02,0.02
Jul,40.12,29.34,16.78,8.62,1.64,1.36,1.33,0.21,0.5,0.08,0.02,0.02
Aug,39.16,30.15,16.47,8.78,1.84,1.45,1.4,0.2,0.46,0.05,0.02,0.02
Sep,37.66,30.76,16.63,9.06,2.1,1.75,1.37,0.19,0.39,0.06,0.01,0.02
Oct,37.33,31.28,16.5,9.2,1.77,1.86,1.34,0.19,0.44,0.06,0.01,0.02
